"Year","Name","Oscar","BAFTA","Critics_Choice","Golden_Globe","SAG"
2004,"Holly Hunter",0,0,0,0,0
2004,"Renée Zellweger",1,1,1,1,1
2005,"Cate Blanchett",1,1,0,0,1
2006,"Frances McDormand",0,0,0,0,0
2007,"Jennifer Hudson",1,1,1,1,1
2008,"Cate Blanchett",0,0,0,1,0
2008,"Tilda Swinton",1,1,0,0,0
2009,"Penélope Cruz",1,1,0,0,0
2010,"Anna Kendrick",0,0,0,0,0
2010,"Mo'Nique",1,1,1,1,1
2010,"Vera Farmiga",0,0,0,0,0
2011,"Amy Adams",0,0,0,0,0
2011,"Helena Bonham Carter",0,1,0,0,0
2012,"Jessica Chastain",0,0,0,0,0
2012,"Octavia Spencer",1,1,1,1,1
2013,"Anne Hathaway",1,1,1,1,1
2013,"Helen Hunt",0,0,0,0,0
2013,"Sally Field",0,0,0,0,0
2014,"Jennifer Lawrence",0,1,0,1,0
2014,"Julia Roberts",0,0,0,0,0
2014,"Lupita Nyong'o",1,0,1,0,1
2015,"Emma Stone",0,0,0,0,0
2015,"Keira Knightley",0,0,0,0,0
2015,"Patricia Arquette",1,1,1,1,1
2016,"Alicia Vikander",1,0,1,0,1
2016,"Kate Winslet",0,1,0,1,0
2017,"Michelle Williams",0,0,0,0,0
2017,"Naomie Harris",0,0,0,0,0
2017,"Nicole Kidman",0,0,0,0,0
2017,"Viola Davis",1,1,1,1,1
2018,"Allison Janney",1,1,1,1,1
2018,"Laurie Metcalf",0,0,0,0,0
2019,"Amy Adams",0,0,0,0,0
2019,"Emma Stone",0,0,0,0,0
2019,"Rachel Weisz",0,1,0,0,0
2020,"Laura Dern",1,1,1,1,1
2020,"Margot Robbie",0,0,0,0,0
2022,"Ariana DeBose",1,1,1,1,1
2023,"Angela Bassett",0,0,1,1,0
2023,"Jamie Lee Curtis",1,0,0,0,1
2023,"Kerry Condon",0,1,0,0,0
2024,"Da'Vine Joy Randolph",1,1,1,1,1
2024,"Danielle Brooks",0,0,0,0,0
2024,"Emily Blunt",0,0,0,0,0
2025,"Ariana Grande",0,0,0,0,0
2025,"Zoe Saldaña",1,1,1,1,1
